epoch,train_loss,validation_ap50,best_epoch,patience,seconds
1,0.08674019800437942,0.33573875507379763,1,0,1738.7607311999964
2,0.08392030560494108,0.1124471062348127,1,1,1744.6680422000063
3,0.07962334574932023,0.15419237155897478,1,2,1754.8761188999997
4,0.07934558530729764,0.07414115488492537,1,3,1731.368645800001
5,0.07484545267322379,0.12419469169509474,1,4,1691.4573549000052
6,0.07367529182924325,0.038219512434474495,1,5,1719.0685629
