model,state,label,valid_records,masked_nll,brier_score,ece
stage9_original,uncalibrated,Atelectasis,665,0.4041668122265671,0.13009827518449682,0.1808728772334586
stage9_original,uncalibrated,Cardiomegaly,665,0.1258645813086713,0.02913275609638048,0.06338324756974256
stage9_original,uncalibrated,Effusion,665,0.34041001869504606,0.10449131252938669,0.12152284783262172
stage9_original,uncalibrated,Infiltration,665,0.5563475977269506,0.18634024103971453,0.23491797404069648
stage9_original,uncalibrated,Mass,665,0.34429121591762946,0.10176494492731876,0.13855150520059287
stage9_original,uncalibrated,Nodule,665,0.3865027900541405,0.11731911271368732,0.20312564587920795
stage9_original,uncalibrated,Pneumonia,665,0.09918454258925442,0.01946447717064916,0.04066891843151945
stage9_original,uncalibrated,Pneumothorax,665,0.21972889493196246,0.06358614976313116,0.07606634335326296
stage9_original,uncalibrated,Consolidation,665,0.230323151863516,0.06293874213064428,0.13351057611503883
stage9_original,uncalibrated,Edema,665,0.10932714682689282,0.02605925389250658,0.056156098566375164
stage9_original,uncalibrated,Emphysema,665,0.11006400931423878,0.02520319330652753,0.042883014601053086
stage9_original,uncalibrated,Fibrosis,665,0.12701125911939085,0.03133214488175398,0.06875149029818246
stage9_original,uncalibrated,Pleural_Thickening,665,0.2387839479260712,0.06549818635847778,0.10758243630871285
stage9_original,uncalibrated,Hernia,665,0.04144476934027152,0.0058672960895033875,0.025145226400485617
stage9_original,uncalibrated,MACRO,9310,0.23810362413147157,0.06922114900601276,0.10665272870221075
stage9_original,temperature_scaled,Atelectasis,665,0.3999037814279701,0.13011528175631365,0.16101105152769477
stage9_original,temperature_scaled,Cardiomegaly,665,0.11561894367117208,0.027521259913229467,0.046916752275224106
stage9_original,temperature_scaled,Effusion,665,0.33978430335191867,0.1046097403994527,0.10360996863843418
stage9_original,temperature_scaled,Infiltration,665,0.5496315685290092,0.18363123865911843,0.21868340909737635
stage9_original,temperature_scaled,Mass,665,0.3536036073332636,0.10205288443774219,0.12219351225974422
stage9_original,temperature_scaled,Nodule,665,0.3862724067206693,0.1161000981319416,0.18243580923324407
stage9_original,temperature_scaled,Pneumonia,665,0.08774982415407113,0.0174757888489983,0.02346836381745248
stage9_original,temperature_scaled,Pneumothorax,665,0.21449906675829683,0.06332081950526816,0.05919619794757116
stage9_original,temperature_scaled,Consolidation,665,0.21548077271594818,0.0600975016628793,0.11061352193326417
stage9_original,temperature_scaled,Edema,665,0.09765667309040289,0.024566446608686916,0.039705032418683596
stage9_original,temperature_scaled,Emphysema,665,0.10398227173207253,0.024466525577685663,0.028255635495446574
stage9_original,temperature_scaled,Fibrosis,665,0.11524979466334534,0.029645697907738463,0.051720110401676955
stage9_original,temperature_scaled,Pleural_Thickening,665,0.23319727536309784,0.06383721982085216,0.08733890995105206
stage9_original,temperature_scaled,Hernia,665,0.030292912796691374,0.005036702034783312,0.012430933259693728
stage9_original,temperature_scaled,MACRO,9310,0.23163737159342346,0.06803408609033502,0.08911280058975417
stage13_frontal_only,uncalibrated,Atelectasis,74,0.28862798336688994,0.08408646295890326,0.0578842553738001
stage13_frontal_only,uncalibrated,Cardiomegaly,161,0.4854392424164092,0.16020960842211768,0.10048453907788914
stage13_frontal_only,uncalibrated,Consolidation,230,0.2691456417680314,0.07281203345395162,0.05142182928267056
stage13_frontal_only,uncalibrated,Edema,182,0.43386989395279374,0.14538571065481096,0.08626155182975088
stage13_frontal_only,uncalibrated,Enlarged Cardiomediastinum,207,0.4375739150527904,0.1272070690907325,0.07655612173701687
stage13_frontal_only,uncalibrated,Fracture,49,0.5083594414841868,0.16998548341363232,0.15552299849841061
stage13_frontal_only,uncalibrated,Lung Lesion,48,0.6014142224756337,0.206926778847455,0.17758154124021533
stage13_frontal_only,uncalibrated,Lung Opacity,292,0.35055665711494477,0.10840752567614746,0.04628334408753543
stage13_frontal_only,uncalibrated,No Finding,134,0.08521817104595736,0.014754960126588185,0.013257991466949282
stage13_frontal_only,uncalibrated,Pleural Effusion,466,0.28107672213762186,0.08072370076288882,0.04224047252169886
stage13_frontal_only,uncalibrated,Pleural Other,30,0.42336819132976744,0.1319823217977382,0.10580572684605914
stage13_frontal_only,uncalibrated,Pneumonia,72,0.5513754325856495,0.18516484705209083,0.14243344155450663
stage13_frontal_only,uncalibrated,Pneumothorax,231,0.3113322384774541,0.09293847856067747,0.08318849336819571
stage13_frontal_only,uncalibrated,Support Devices,230,0.21912116745069435,0.06347341238085824,0.025703194867009713
stage13_frontal_only,uncalibrated,MACRO,2406,0.3747484943327732,0.11743274237132803,0.08318753583940773
stage13_frontal_only,temperature_scaled,Atelectasis,74,0.2884443199623385,0.08419299680305369,0.08955471215377461
stage13_frontal_only,temperature_scaled,Cardiomegaly,161,0.47819090629713334,0.15836767696246154,0.08989006064739619
stage13_frontal_only,temperature_scaled,Consolidation,230,0.2677496831507864,0.07353200857341173,0.04770483950625965
stage13_frontal_only,temperature_scaled,Edema,182,0.43190779373500987,0.14394828434159018,0.1120614449195194
stage13_frontal_only,temperature_scaled,Enlarged Cardiomediastinum,207,0.4295393244342197,0.1271613380150421,0.0834344080139809
stage13_frontal_only,temperature_scaled,Fracture,49,0.5048756627135337,0.16861204899909418,0.17364856467953632
stage13_frontal_only,temperature_scaled,Lung Lesion,48,0.5816611685139604,0.20108509311165104,0.19553991177414767
stage13_frontal_only,temperature_scaled,Lung Opacity,292,0.3476169261314323,0.10785651992536868,0.04387976697133812
stage13_frontal_only,temperature_scaled,No Finding,134,0.0777331247086908,0.014650146253398923,0.011732377381725057
stage13_frontal_only,temperature_scaled,Pleural Effusion,466,0.2761088843654258,0.0798996020068648,0.034414336230228805
stage13_frontal_only,temperature_scaled,Pleural Other,30,0.42238539297712596,0.1318226308548694,0.07531882946306
stage13_frontal_only,temperature_scaled,Pneumonia,72,0.5521473646568168,0.18571826988914744,0.17712497187294976
stage13_frontal_only,temperature_scaled,Pneumothorax,231,0.30454693322764836,0.09253261327948946,0.07941852146470794
stage13_frontal_only,temperature_scaled,Support Devices,230,0.2246842846230223,0.06428979306528516,0.045519397930366294
stage13_frontal_only,temperature_scaled,MACRO,2406,0.3705422692497959,0.11669064443433774,0.08994586735778506
