candidate,reference,label,metric,delta_mean,delta_ci_low,delta_ci_high,confidence_level,valid_replicates,interpretation
anatomy_crop,original,Pneumothorax,auprc,0.05647937093392375,0.008135555842532232,0.11091284266688552,0.95,2000,CANDIDATE_HIGHER
anatomy_crop,original,Consolidation,auprc,0.0036751710095647306,-0.039083570490348336,0.04207876416933008,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Edema,auprc,-0.03229622847877197,-0.10391970400595467,0.023934599717559447,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Emphysema,auprc,0.07233287356580576,-0.005668448297882706,0.14479196982081524,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Fibrosis,auprc,-0.01772701193451595,-0.06383428319847084,0.008395756874122844,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Pleural_Thickening,auprc,-0.00917625727738616,-0.04441133475176958,0.016972269159611253,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Hernia,auprc,-0.06579740488752635,-0.2650789910756607,-0.0020392784723680378,0.95,1993,ORIGINAL_HIGHER
anatomy_crop,original,ALL_LABELS,macro_auprc,0.0023460362495469496,-0.015322175493693621,0.01698683522340235,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Atelectasis,auroc,0.019951418794261905,-0.0007510928689054166,0.039617891357022095,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Cardiomegaly,auroc,0.01790463217179117,-0.03270877027251626,0.06732944975449894,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Effusion,auroc,0.005229992122713353,-0.008653896746875594,0.01839490498024255,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Infiltration,auroc,-0.002593222355010442,-0.02424052605299344,0.01904399363565599,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Mass,auroc,-0.011639772459595804,-0.055914673317308164,0.03543506207777149,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Nodule,auroc,0.002885990299653969,-0.03603519568366492,0.04340224734823459,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Pneumonia,auroc,0.07159167541058746,-0.00395885833213317,0.148923826994199,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Pneumothorax,auroc,0.01847807701345951,-0.007443805026335305,0.04396388656036049,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Consolidation,auroc,0.032936277768242005,-0.0021467725189106466,0.07043304540055072,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Edema,auroc,0.042645524259768836,0.006755363197400997,0.08353456037535714,0.95,2000,CANDIDATE_HIGHER
anatomy_crop,original,Emphysema,auroc,0.0737583844184216,0.024358071414788733,0.12945322369980508,0.95,2000,CANDIDATE_HIGHER
anatomy_crop,original,Fibrosis,auroc,-0.008983774275369704,-0.0897792622838231,0.07124049085059336,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Pleural_Thickening,auroc,0.005806454603213034,-0.05874749227031711,0.07062254709896866,0.95,2000,NO_CLEAR_DIFFERENCE
anatomy_crop,original,Hernia,auroc,-0.08814868604248692,-0.18829758302283398,0.033685713248122605,0.95,1993,NO_CLEAR_DIFFERENCE
anatomy_crop,original,ALL_LABELS,macro_auroc,0.01287092261822966,-0.002451937415378155,0.027874432709620586,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Atelectasis,auprc,0.0024583244753282403,-0.03368615771623124,0.03793531710857736,0.95,2000,NO_CLEAR_DIFFERENCE
