variant,epoch,train_loss,validation_macro_auprc,validation_macro_auroc,learning_rate,epoch_seconds,train_records,validation_records
original,1,1.0608176781285195,0.1278752009329487,0.7446646737943047,0.0001,622.2590687,6000,3000
original,2,0.8964717368925771,0.15153006155479715,0.7677636958567382,0.0001,538.2431146999998,6000,3000
original,3,0.7753509936794158,0.1668223840112251,0.7844519431671682,0.0001,429.02213280000024,6000,3000
original,4,0.6720045407613119,0.1745128312878725,0.7779701207209325,0.0001,426.1915368,6000,3000
original,5,0.5809480006335884,0.1682615192178353,0.7771500321970439,0.0001,430.0204284000001,6000,3000
original,6,0.4944880928403588,0.17223860347259948,0.7701684712220207,0.0001,423.5062423999998,6000,3000
original,7,0.41866551964513715,0.17387123309493094,0.7763054167461302,5e-05,422.7784607000003,6000,3000
original,8,0.3326071721892203,0.17947166104362666,0.76378572045656,5e-05,426.1191728999993,6000,3000
original,9,0.2807407747673732,0.1735987404394205,0.7561869234884825,5e-05,425.1184118000001,6000,3000
original,10,0.23609534915416472,0.17366797419495011,0.7498783221325626,5e-05,425.8483946999995,6000,3000
original,11,0.20510138875694686,0.17141235676919778,0.752555351357999,2.5e-05,424.3949075999999,6000,3000
original,12,0.17430208511249992,0.17238017065474362,0.756708632644159,2.5e-05,424.7065341999996,6000,3000
original,13,0.14840061674194951,0.17412914675967128,0.7444432168247624,2.5e-05,423.2613471000004,6000,3000
original,14,0.13169697567980776,0.17048498574030654,0.7409682724313631,1.25e-05,425.4621514999999,6000,3000
original,15,0.11534678847879491,0.16935563678263374,0.7401853490370263,1.25e-05,427.1432464999998,6000,3000
original,16,0.105635306767879,0.17007959005005205,0.735487962600112,1.25e-05,425.52656620000016,6000,3000
original,17,0.09718628452029279,0.16598454280140182,0.7307590950848428,6.25e-06,426.70758299999943,6000,3000
original,18,0.08711262095359064,0.1662994429612143,0.7297603745548807,6.25e-06,424.91021,6000,3000
lung_masked,1,1.061778990812199,0.11521518589641402,0.706095649976901,0.0001,779.8133082999993,6000,3000
lung_masked,2,0.9446010910054689,0.13405010626817052,0.7200164826217511,0.0001,784.5372329000002,6000,3000
lung_masked,3,0.8691965386431705,0.1468541914970683,0.7530919858546984,0.0001,778.9197570999986,6000,3000
lung_masked,4,0.8048379677598194,0.1473223689939493,0.7515564501577982,0.0001,789.383387599999,6000,3000
lung_masked,5,0.7331757154515994,0.15254795032021598,0.7418609057880234,0.0001,790.9983850999997,6000,3000
lung_masked,6,0.6608931165869518,0.16077333065758528,0.7616132529048655,0.0001,778.7194850000014,6000,3000
lung_masked,7,0.6048303675907915,0.16208692071628833,0.7617547337177041,0.0001,782.3575409999994,6000,3000
lung_masked,8,0.5352060599352724,0.15424331792287946,0.7518442910941906,0.0001,798.3835552,6000,3000
lung_masked,9,0.47443907715940986,0.15290635817274292,0.7382868301199323,0.0001,783.763770399999,6000,3000
lung_masked,10,0.426084670969235,0.15450495633829212,0.7350165989072764,5e-05,793.0173206,6000,3000
lung_masked,11,0.3374671955262461,0.15645520353954717,0.7354289079110733,5e-05,789.2117794000005,6000,3000
lung_masked,12,0.2871085185838002,0.15764032867759284,0.7253385258508105,5e-05,838.0730583000004,6000,3000
lung_masked,13,0.2555597653632523,0.15306142337295875,0.716506582394243,2.5e-05,815.8969319000025,6000,3000
lung_masked,14,0.21522128838364796,0.14964412409174283,0.7066250493201846,2.5e-05,805.9775260000024,6000,3000
lung_masked,15,0.1902087583977689,0.14695190493805152,0.6950773534278082,2.5e-05,793.7267715000016,6000,3000
lung_masked,16,0.17472179890960776,0.14989920564751083,0.7009940895151496,1.25e-05,790.4845384,6000,3000
lung_masked,17,0.15480600337507905,0.14666558207728156,0.6906183706316265,1.25e-05,786.1675986000009,6000,3000
anatomy_crop,1,1.0569159183450925,0.13359744535837906,0.7546589630362842,0.0001,539.7267119999997,6000,3000
anatomy_crop,2,0.9016163599106574,0.16085165004236773,0.7753810641367059,0.0001,570.9826149999972,6000,3000
anatomy_crop,3,0.7845744407305153,0.1697123534824375,0.7838400738740389,0.0001,573.1165758999996,6000,3000
anatomy_crop,4,0.6768948099305553,0.17788789460637863,0.7803584677029518,0.0001,559.6389383999995,6000,3000
anatomy_crop,5,0.5837825148977259,0.1790809227274249,0.7797441680935618,0.0001,560.9507503999994,6000,3000
anatomy_crop,6,0.4937806770365725,0.177593162901202,0.7677424171940258,0.0001,566.7996010999996,6000,3000
anatomy_crop,7,0.41871461720876796,0.1838917268533449,0.7763958191405936,0.0001,564.2654208999993,6000,3000
anatomy_crop,8,0.35354140352818275,0.17854295825087121,0.7544361521151703,0.0001,564.2564472999984,6000,3000
anatomy_crop,9,0.300387018470354,0.16605240494175783,0.7444561310793759,0.0001,556.5585743999982,6000,3000
anatomy_crop,10,0.25471070553025893,0.164008588996528,0.7343511392451187,5e-05,558.7995497999982,6000,3000
anatomy_crop,11,0.19872076857474544,0.16980062213413358,0.7436913179892611,5e-05,557.7416843999999,6000,3000
anatomy_crop,12,0.1617029266812468,0.1683702659167805,0.729412276756144,5e-05,557.955099499999,6000,3000
anatomy_crop,13,0.133473543390151,0.16701010777180952,0.7216156573604856,2.5e-05,558.9617140000009,6000,3000
anatomy_crop,14,0.10926831056994776,0.16325447190710943,0.7128354443248337,2.5e-05,559.3401025999992,6000,3000
anatomy_crop,15,0.09059845648145162,0.16188475539130587,0.7106088649078364,2.5e-05,561.2156730999995,6000,3000
anatomy_crop,16,0.07807316018208381,0.16099005809726646,0.7151117344093397,1.25e-05,555.8708616000004,6000,3000
anatomy_crop,17,0.064932358921856,0.16059697273419346,0.7069180517252528,1.25e-05,557.8117801000044,6000,3000
image_plus_masks,1,1.0669949394400402,0.1341169779923818,0.7398835327546297,0.0001,526.9245246999999,6000,3000
image_plus_masks,2,0.906725404723998,0.1577811351759653,0.7623248213223578,0.0001,531.945885699999,6000,3000
image_plus_masks,3,0.7912945215420056,0.16909962057534655,0.7779099540046827,0.0001,528.8003532000002,6000,3000
image_plus_masks,4,0.6872173804108814,0.1872996328511007,0.7827918451746622,0.0001,530.352724299999,6000,3000
image_plus_masks,5,0.5932440866706192,0.17838802221380226,0.7815302805614791,0.0001,528.6425740999985,6000,3000
image_plus_masks,6,0.49945092105096384,0.18442935358768325,0.7695235412297833,0.0001,530.2836662000045,6000,3000
image_plus_masks,7,0.42615588826517903,0.18526943868031348,0.7692981449195015,5e-05,531.4101119000043,6000,3000
image_plus_masks,8,0.33795821955127103,0.19229413734183534,0.765560377665092,5e-05,533.3270546999993,6000,3000
image_plus_masks,9,0.2843242000828507,0.18043643286002947,0.7598955503584206,5e-05,528.756375799996,6000,3000
image_plus_masks,10,0.2418319792837225,0.19041435275871504,0.7493187820372753,5e-05,529.5055513999978,6000,3000
image_plus_masks,11,0.20385470441592637,0.1800058019994652,0.7480745434607906,2.5e-05,529.8119843000022,6000,3000
image_plus_masks,12,0.16969576077435605,0.18632251665659158,0.7433180709552171,2.5e-05,530.2012046999953,6000,3000
image_plus_masks,13,0.1484192455968549,0.18456947519486802,0.7339997106027002,2.5e-05,526.7568503000002,6000,3000
image_plus_masks,14,0.13216886829624894,0.17885772657965174,0.7294517315008237,1.25e-05,495.931138699998,6000,3000
image_plus_masks,15,0.11369066981859105,0.17724298732156493,0.7257527963780552,1.25e-05,496.24626569999964,6000,3000
image_plus_masks,16,0.104617796678056,0.18285095159607573,0.7205439198064872,1.25e-05,498.49593769999774,6000,3000
image_plus_masks,17,0.09582464637294892,0.18154104271750723,0.7196945086205897,6.25e-06,510.92567820000113,6000,3000
image_plus_masks,18,0.08706097284792572,0.18196320048063397,0.7152882810848816,6.25e-06,560.4947307999973,6000,3000
