variant,label,auprc,auroc
original,Atelectasis,0.26592220568511693,0.7386911728768215
original,Cardiomegaly,0.17385774234638823,0.8369353039598438
original,Effusion,0.44650351399549004,0.8501564640002774
original,Infiltration,0.2714217088054287,0.6530923855293276
original,Mass,0.18574428630090464,0.7418760287406736
original,Nodule,0.21230792710097324,0.7174252998200967
original,Pneumonia,0.027013765878722458,0.6038950062783734
original,Pneumothorax,0.24120812251011095,0.8345360489838715
original,Consolidation,0.09002878479354312,0.7526225201558112
original,Edema,0.18328319666712867,0.8708181812942675
original,Emphysema,0.22157180986249866,0.785700284900285
original,Fibrosis,0.04558544679718,0.7025079902237262
original,Pleural_Thickening,0.07578771064083532,0.7037567770592461
original,Hernia,0.07284162971893578,0.9011077710977511
lung_masked,Atelectasis,0.27603797652847584,0.7507749295810878
lung_masked,Cardiomegaly,0.2713057490268901,0.876241969800252
lung_masked,Effusion,0.40471026783230163,0.8315741968759209
lung_masked,Infiltration,0.2820234977302281,0.6621148864041296
lung_masked,Mass,0.16562780851196995,0.7150006406528746
lung_masked,Nodule,0.18407207285905808,0.7107321368160932
lung_masked,Pneumonia,0.0402565483483667,0.6678579477768118
lung_masked,Pneumothorax,0.21679232917136426,0.8165748480455963
lung_masked,Consolidation,0.09544482399511069,0.7857795090134976
lung_masked,Edema,0.1322553872538103,0.8994893930923991
lung_masked,Emphysema,0.08804341801532319,0.7463863247863248
lung_masked,Fibrosis,0.0377299709665426,0.6863921789810115
lung_masked,Pleural_Thickening,0.06885118959711055,0.731806045463453
lung_masked,Hernia,0.005669092553739933,0.783789801825874
anatomy_crop,Atelectasis,0.2588327033455201,0.7587352775072231
anatomy_crop,Cardiomegaly,0.1718773248651185,0.8549245006300221
anatomy_crop,Effusion,0.4591334391775205,0.8550410880532584
anatomy_crop,Infiltration,0.270190599207867,0.6505707080921608
anatomy_crop,Mass,0.1812588625509739,0.7300941759725603
anatomy_crop,Nodule,0.23463847707338226,0.7200801611287977
anatomy_crop,Pneumonia,0.03053046806242099,0.6747359863485624
anatomy_crop,Pneumothorax,0.2961319881933184,0.8526014280241334
anatomy_crop,Consolidation,0.09695041183735356,0.785875532204004
anatomy_crop,Edema,0.15592538447655538,0.9145828410721593
anatomy_crop,Emphysema,0.2953129413147285,0.8594301994301994
anatomy_crop,Fibrosis,0.032128220625057345,0.6925925925925926
anatomy_crop,Pleural_Thickening,0.0682463536514416,0.709517277418512
anatomy_crop,Hernia,0.023243869050781785,0.8109552438209753
image_plus_masks,Atelectasis,0.2676352999590017,0.749463600233385
image_plus_masks,Cardiomegaly,0.20809233064028237,0.852169444960856
image_plus_masks,Effusion,0.4622329940439965,0.85734633154765
image_plus_masks,Infiltration,0.28045670381982585,0.661284225631543
image_plus_masks,Mass,0.1930096217621109,0.7272531268788378
image_plus_masks,Nodule,0.18447864210810835,0.6893868278552081
image_plus_masks,Pneumonia,0.03747241957260275,0.6813403522328472
image_plus_masks,Pneumothorax,0.25540684258893526,0.8588722776469639
image_plus_masks,Consolidation,0.08528314619881769,0.7514557478032431
image_plus_masks,Edema,0.13549977992216689,0.8794281894201788
image_plus_masks,Emphysema,0.26909943272264075,0.8585162393162393
image_plus_masks,Fibrosis,0.03549871279182445,0.6521451400639218
image_plus_masks,Pleural_Thickening,0.10416185833152165,0.7226019008426416
image_plus_masks,Hernia,0.1732801241668966,0.7764696058784235
