variant,best_epoch,validation_macro_auprc,validation_macro_auroc,trainable_parameters,elapsed_seconds
image_plus_masks,8,0.19229413734183534,0.765560377665092,6977614,9592.573760400002
anatomy_crop,7,0.1838917268533449,0.7763958191405936,6968206,9658.832874799999
original,8,0.17947166104362666,0.76378572045656,6968206,7479.7755311
lung_masked,7,0.16208692071628833,0.7617547337177041,6968206,13592.656738299998
