candidate,epoch,train_loss,train_samples,train_seconds,validation_seconds,validation_macro_auprc,validation_macro_auroc,validation_macro_f1_at_0_5,learning_rate,improved,patience_counter,peak_gpu_memory_gib
linear,18,0.727992062904884,77790,0.49972830002661794,0.03942390001611784,0.24089211614500178,0.8247224728408777,0.2041994606484829,0.0005,False,8,0.0631260871887207
linear,19,0.7250511750278137,77790,0.5874735999968834,0.11836409999523312,0.2410721187175433,0.8240849821691987,0.2059939765514595,0.0005,False,9,0.0631260871887207
linear,20,0.7221873752438542,77790,0.5542048999923281,0.11161880003055558,0.23901872438854715,0.8249774970181983,0.20718505192651623,0.00025,False,10,0.0631260871887207
linear,21,0.7186849138901923,77790,0.46705669997027144,0.11171039997134358,0.23801332070991102,0.8248458423265272,0.20816310204549948,0.00025,False,11,0.0631260871887207
linear,22,0.7172186185881785,77790,0.5393735999823548,0.043262100021820515,0.23859926114438051,0.8246809710924151,0.2085462758889782,0.00025,False,12,0.0631260871887207
mlp,1,0.831886589329444,77790,0.882974500011187,0.044057699968107045,0.1995892739314892,0.8168264684758787,0.22145234731308397,0.0005,True,0,0.0696721076965332
mlp,2,0.661732280315662,77790,0.621282699983567,0.04315919999498874,0.21495096325470106,0.8288383539110568,0.23224505284627497,0.0005,True,0,0.07012796401977539
mlp,3,0.6246065348275662,77790,0.622034200001508,0.10942799999611452,0.22047186592305804,0.832163770395937,0.23660607192740077,0.0005,True,0,0.07012796401977539
mlp,4,0.6023116590630688,77790,0.628096500004176,0.04476230003638193,0.22259432544004532,0.8331681880245217,0.23829615868025802,0.0005,True,0,0.07012796401977539
mlp,5,0.5832786376777568,77790,0.6219259999925271,0.11036620003869757,0.2277239615265066,0.8335953057761466,0.24514180130745733,0.0005,True,0,0.07012796401977539
mlp,6,0.5662475988236287,77790,0.6202428000397049,0.04270280001219362,0.22828791120041297,0.8335917836351562,0.24339140061117023,0.0005,True,0,0.07012796401977539
mlp,7,0.5503627003488174,77790,0.6309620999963954,0.04567189997760579,0.22989468976986385,0.8326027714217352,0.24422079581025866,0.0005,True,0,0.07012796401977539
mlp,8,0.5352139050648841,77790,0.6199784000054933,0.04245509998872876,0.22987346761817193,0.8319155966728637,0.2449871115063694,0.0005,False,1,0.07012796401977539
mlp,9,0.5208080381641567,77790,0.6272574000176974,0.1175785000086762,0.23064175039477466,0.831074587110831,0.24539072014291294,0.0005,True,0,0.07012796401977539
mlp,10,0.5066768154461688,77790,0.5580312999663875,0.1110987999709323,0.2300181489203017,0.8295374855720243,0.24384211627557031,0.0005,False,1,0.07012796401977539
mlp,11,0.4933881190070182,77790,0.5486085999873467,0.10676520003471524,0.2287181640280589,0.8287034619568113,0.24702678699569827,0.0005,False,2,0.07012796401977539
mlp,12,0.480121641845442,77790,0.5489189000218175,0.10681319999275729,0.229278160041653,0.8278806224290766,0.24436118783670865,0.0005,False,3,0.07012796401977539
mlp,13,0.46710858555207263,77790,0.6178808999829926,0.04191259999061003,0.22940028689636277,0.8271091035803798,0.25194469799836916,0.0005,False,4,0.07012796401977539
mlp,14,0.4549037235356922,77790,0.6209106000023894,0.04311789997154847,0.2274396332179883,0.8259015227535322,0.25064961890375764,0.00025,False,5,0.07012796401977539
mlp,15,0.439682976899041,77790,0.618229000014253,0.0429961999761872,0.22812858157534838,0.8255210727342073,0.2606880051845283,0.00025,False,6,0.07012796401977539
mlp,16,0.43402591444315375,77790,0.62211950001074,0.042414699972141534,0.22810518098780747,0.8256184068398925,0.2594379853338643,0.00025,False,7,0.07012796401977539
mlp,17,0.4269674780375241,77790,0.6281350000062957,0.10943549999501556,0.2267181368026492,0.8244767582365525,0.257882828649323,0.00025,False,8,0.07012796401977539
mlp,18,0.4221105570182624,77790,0.6215109000331722,0.043382000003475696,0.22683728828426694,0.8242845906057797,0.25920186110262106,0.00025,False,9,0.07012796401977539
mlp,19,0.41583970276137705,77790,0.6287914999993518,0.1081395999644883,0.22648991445634778,0.8242615991556425,0.26037644555124134,0.000125,False,10,0.07012796401977539
mlp,20,0.4086634505559767,77790,0.6313894000486471,0.04274609999265522,0.22632118813001356,0.8240376782994768,0.25977604190238585,0.000125,False,11,0.07012796401977539
mlp,21,0.40666461206827975,77790,0.6366425000014715,0.045155500003602356,0.2262374895464718,0.8238567672081771,0.2606268697148082,0.000125,False,12,0.07012796401977539
