candidate,epoch,train_loss,train_samples,train_seconds,validation_seconds,validation_macro_auprc,validation_macro_auroc,validation_macro_f1_at_0_5,learning_rate,improved,patience_counter,peak_gpu_memory_gib
linear,1,0.9671337507319399,77790,1.0717537000309676,0.0639089000178501,0.18889301736879135,0.8004143490512113,0.14271597713858947,0.001,True,0,0.0631260871887207
linear,2,0.8850427111112484,77790,0.43635619996348396,0.031933800026308745,0.21703070682318118,0.8186168329077345,0.15455659176882183,0.001,True,0,0.0631260871887207
linear,3,0.8600798469135947,77790,0.4921104999957606,0.03230319998692721,0.2340801551329467,0.8228909602207236,0.1608619105728338,0.001,True,0,0.0631260871887207
linear,4,0.843137580049821,77790,0.42715529998531565,0.035097200016025454,0.2340027177136097,0.8236670588790389,0.16578783377927536,0.001,False,1,0.0631260871887207
linear,5,0.8291878601168128,77790,0.42248080001445487,0.03218939999351278,0.23423969539757525,0.8242145749912275,0.17009178743193634,0.001,False,2,0.0631260871887207
linear,6,0.8171336132558457,77790,0.4189963999669999,0.09575219999533147,0.23510532257148845,0.8248901750753033,0.1741672860439448,0.001,True,0,0.0631260871887207
linear,7,0.8061850282339529,77790,0.3555159000097774,0.09762969997245818,0.23844803626066555,0.8261666465098912,0.1779806274509513,0.001,True,0,0.0631260871887207
linear,8,0.7961541663146077,77790,0.41662580001866445,0.031699599989224225,0.23384579065192226,0.8252107168224991,0.18049048969604573,0.001,False,1,0.0631260871887207
linear,9,0.7868125277828903,77790,0.42634990002261475,0.03031379997264594,0.2372300247426867,0.8256132063431029,0.18300067153376623,0.001,False,2,0.0631260871887207
linear,10,0.7781669979843907,77790,0.42701590002980083,0.03295429999707267,0.24262254292344185,0.8260364222382005,0.18604292085666554,0.001,True,0,0.0631260871887207
linear,11,0.7699628558743045,77790,0.43716479995055124,0.03221309999935329,0.24018667841087343,0.8249370593980796,0.18817214853001857,0.001,False,1,0.0631260871887207
linear,12,0.7622839708057922,77790,0.43133859999943525,0.030930400011129677,0.23653611010920556,0.8261382064136162,0.1911831380640919,0.001,False,2,0.0631260871887207
linear,13,0.7550089177090461,77790,0.43785809999099,0.09562020003795624,0.24142993947052913,0.8254212319348745,0.1946012321447065,0.001,False,3,0.0631260871887207
linear,14,0.7480807473105074,77790,0.4277301999973133,0.030076799972448498,0.2389806992753826,0.8228063638050844,0.19780195654352747,0.001,False,4,0.0631260871887207
linear,15,0.7417322909192969,77790,0.4299207999720238,0.09600489999866113,0.23684577531143955,0.8259483487245702,0.19952172392086814,0.0005,False,5,0.0631260871887207
linear,16,0.7341628835354201,77790,0.42357889999402687,0.031461100035812706,0.24160983321172316,0.824327540772261,0.20191583355579865,0.0005,False,6,0.0631260871887207
linear,17,0.7309681104286607,77790,0.4449091000133194,0.0387524000252597,0.24011797441732524,0.8253229250992666,0.20330646594421944,0.0005,False,7,0.0631260871887207
