variant,label,auprc,auroc,valid_records
frontal_only,Atelectasis,0.9764698356263412,0.7808155158312887,344
frontal_only,Cardiomegaly,0.894834553482753,0.889334637964775,607
frontal_only,Consolidation,0.7031791365909845,0.8756713123126092,955
frontal_only,Edema,0.7648569202461076,0.8804955111162487,703
frontal_only,Enlarged Cardiomediastinum,0.5528471569058333,0.740926351112681,757
frontal_only,Fracture,0.9137359157431608,0.7912023460410557,210
frontal_only,Lung Lesion,0.8969620297160645,0.7240052398886523,259
frontal_only,Lung Opacity,0.9597908143986542,0.8006096924121364,1138
frontal_only,No Finding,0.9981627659748504,0.8014150943396225,534
frontal_only,Pleural Effusion,0.9516004645864492,0.9515175713787749,1790
frontal_only,Pleural Other,0.9729106857699558,0.8041666666666666,112
frontal_only,Pneumonia,0.8019577431860374,0.7352941176470588,239
frontal_only,Pneumothorax,0.6036362929191799,0.8662374211154698,963
frontal_only,Support Devices,0.9806520501732777,0.7776547054274906,870
late_probability_fusion,Atelectasis,0.9780396940473135,0.7946021731510691,344
late_probability_fusion,Cardiomegaly,0.91129707279331,0.8960208741030659,607
late_probability_fusion,Consolidation,0.7293574891317288,0.8885209713024284,955
late_probability_fusion,Edema,0.7916980438547895,0.8887893499788079,703
late_probability_fusion,Enlarged Cardiomediastinum,0.5361201349149577,0.7352746379371247,757
late_probability_fusion,Fracture,0.9110366572371585,0.7981231671554252,210
late_probability_fusion,Lung Lesion,0.8863334646734784,0.7319469461273949,259
late_probability_fusion,Lung Opacity,0.9542336663570136,0.787286542378192,1138
late_probability_fusion,No Finding,0.9908615235313364,0.5117924528301887,534
late_probability_fusion,Pleural Effusion,0.9568203659275807,0.9588008999588046,1790
late_probability_fusion,Pleural Other,0.9535071009071461,0.7291666666666666,112
late_probability_fusion,Pneumonia,0.7861922564595287,0.7322958309537407,239
late_probability_fusion,Pneumothorax,0.5928859104056917,0.8776650179089204,963
late_probability_fusion,Support Devices,0.9788964422668406,0.7780308888378022,870
