metric,label,mean_delta,ci_low,ci_high,valid_replicates
auprc,Atelectasis,0.0016243565092935075,-0.006329695165867549,0.0077710749772557704,2000
auprc,Cardiomegaly,0.016387981538787243,0.001056258359096424,0.036093638588123554,2000
auprc,Consolidation,0.025594199037240563,-0.010562223762873147,0.06347209742843285,2000
auprc,Edema,0.02650452501414279,-0.003366068285666758,0.058382882403268145,2000
auprc,Enlarged Cardiomediastinum,-0.01574292199626867,-0.056143345688552886,0.02308856954296254,2000
auprc,Fracture,-0.0024798256091902063,-0.02130721014431572,0.015741036064206588,2000
auprc,Lung Lesion,-0.010002510207689554,-0.04095153955548123,0.016094856793346175,2000
auprc,Lung Opacity,-0.005604445418167801,-0.011511078859757204,-0.0006219217407854366,2000
auprc,No Finding,-0.007440008704600809,-0.01913652409094672,1.9083006603401453e-05,1956
auprc,Pleural Effusion,0.005157777656427162,-0.0012744680438452826,0.012285432302186178,2000
auprc,Pleural Other,-0.01889788880825538,-0.04549849355328199,-0.00043334151855919765,2000
auprc,Pneumonia,-0.015167715390234711,-0.05733714188947808,0.025831913188280972,2000
auprc,Pneumothorax,-0.009739188019920906,-0.06428016368286836,0.04979786795376965,2000
auprc,Support Devices,-0.0017831985092408653,-0.006393402772440465,0.002352988320137093,2000
macro_auprc,ALL_LABELS,-0.000814255853471553,-0.009176861156809069,0.0071476469217121585,2000
auroc,Atelectasis,0.014091094022422921,-0.036442816976061235,0.056008976124885215,2000
auroc,Cardiomegaly,0.006706616928292815,-0.006079872329663585,0.019364137120991172,2000
auroc,Consolidation,0.012841646131111297,-0.00563753488035226,0.0312467684612723,2000
auroc,Edema,0.008267651281506923,-0.00857205952783984,0.02472103098519179,2000
auroc,Enlarged Cardiomediastinum,-0.005204444744495511,-0.031986542814301924,0.022263107457806474,2000
auroc,Fracture,0.0065609109908527415,-0.02276043382953415,0.036258961541360046,2000
auroc,Lung Lesion,0.008188018848538106,-0.028848073602417444,0.0463953477851765,2000
auroc,Lung Opacity,-0.013616473555732924,-0.029085259992447966,0.0015231032062928956,2000
auroc,No Finding,-0.2870697804462297,-0.5752224959527571,0.008374000936739817,1956
auroc,Pleural Effusion,0.007221045732743166,-4.2574192348732946e-06,0.014809311413768308,2000
auroc,Pleural Other,-0.07403263863359245,-0.16947298951048956,0.005074925074925099,2000
auroc,Pneumonia,-0.0032585128319996964,-0.04252804473850553,0.03429338738437791,2000
auroc,Pneumothorax,0.011331224582656717,-0.006517108905462509,0.029087881567637648,2000
auroc,Support Devices,0.00027664504393994256,-0.038771702402898005,0.03783692971639945,2000
macro_auroc,ALL_LABELS,-0.021528626440725722,-0.04493857958767191,0.0013744883017709742,2000
