epoch,phase,train_steps,train_samples,train_loss,validation_macro_auprc,validation_macro_auroc,validation_macro_f1,train_seconds,validation_seconds,epoch_seconds,peak_gpu_memory_gib,learning_rates
1,head_warmup,48,4608,1.1323626264929771,0.05308020707887564,0.5174479218315945,0.056112460702635585,91.29338940000162,43.96753990004072,135.33851329999743,0.9253849983215332,[0.0003]
2,head_warmup,58,5568,1.11095687644235,0.053505499845879115,0.5213324730681884,0.05668711328019806,74.56801930000074,10.224082500033546,84.86466139997356,0.5739059448242188,[0.0003]
3,head_warmup,70,6720,1.0994807618004936,0.05466843481513386,0.5284125604111836,0.05794519342034317,89.34679370000958,10.436767599952873,99.8575703999959,0.5739059448242188,[0.0003]
4,full_finetune,72,2304,1.0774072839154138,0.05609808477270507,0.5374300839248695,0.05997660874550498,99.70641699997941,34.84085179999238,134.63007109996397,2.146735191345215,"[3e-05, 0.0003]"
5,full_finetune,87,2784,1.0712530893841008,0.05871538908632743,0.5508435806431888,0.06322839498151413,80.97043980000308,10.287964100018144,91.33840319997398,2.1468114852905273,"[3e-05, 0.0003]"
6,full_finetune,105,3360,1.0455180383863902,0.06246681972354146,0.5697068778153876,0.06833619402314377,96.8055342999869,10.415571799967438,107.29854740004521,2.1468114852905273,"[3e-05, 0.0003]"
7,full_finetune,112,3584,1.0545711778104305,0.06824914176076328,0.5907311216880142,0.07227518220053494,103.30457949999254,10.448502900020685,113.83448399999179,2.1468114852905273,"[3e-05, 0.0003]"
8,full_finetune,112,3584,1.0504628696611948,0.07413370824593361,0.6145823741684009,0.08137958668434554,104.01066009997157,10.362810499966145,114.45404619997134,2.1468114852905273,"[3e-05, 0.0003]"
9,full_finetune,112,3584,1.0401058111871992,0.08136897861479335,0.6391862513673293,0.09413790598691896,103.97130640002433,10.551749500038568,114.60119529999793,2.1468114852905273,"[3e-05, 0.0003]"
10,full_finetune,112,3584,1.0242644564381667,0.08953608290726643,0.6611329328961856,0.10509554638875482,104.08471559995087,10.546903000038583,114.70647219999228,2.1468114852905273,"[3e-05, 0.0003]"
11,full_finetune,112,3584,1.031747754663229,0.09827624571673561,0.6784394165427446,0.11851224835866277,104.27314070001012,10.587235699989833,114.93951320002088,2.1468114852905273,"[3e-05, 0.0003]"
12,full_finetune,112,3584,1.0298151240817137,0.10579335380550829,0.6919051829166954,0.1295605774490692,104.27948969998397,10.503903399978299,114.8638845999958,2.1468114852905273,"[3e-05, 0.0003]"
13,full_finetune,112,3584,1.0306656562856265,0.11245939061325513,0.7032171763240752,0.13471655827108328,104.2428995000082,10.536127500003204,114.86088059999747,2.1468114852905273,"[3e-05, 0.0003]"
14,full_finetune,112,3584,1.02514224126935,0.11860239514356526,0.7140623959981867,0.14301564166491326,104.23997070000041,10.41186170000583,114.72778780001681,2.1468114852905273,"[3e-05, 0.0003]"
15,full_finetune,112,3584,1.0009961745568685,0.124253237825302,0.7233184207315521,0.14546056366689558,104.24780199996894,10.315056600025855,114.64303000003565,2.1468114852905273,"[3e-05, 0.0003]"
16,full_finetune,112,3584,1.0104449795825141,0.1295794965950638,0.7326661752299309,0.15183822509057252,104.13199690001784,10.393818899989128,114.60628310003085,2.1468114852905273,"[3e-05, 0.0003]"
17,full_finetune,112,3584,1.0066956201834338,0.13409459407782587,0.7413235472800584,0.15575274849440546,104.25875159999123,10.499648099998012,114.83964379999088,2.1468114852905273,"[3e-05, 0.0003]"
18,full_finetune,112,3584,1.0222823646451746,0.13823722148031586,0.7478397130558412,0.16009813208130547,104.12088430003496,10.420367999991868,114.6210252000019,2.1468114852905273,"[3e-05, 0.0003]"
19,full_finetune,112,3584,1.0020972011344773,0.14082588533937698,0.7546534830377377,0.16713418439490266,104.31651139998576,10.44746729999315,114.84734639996896,2.1468114852905273,"[3e-05, 0.0003]"
20,full_finetune,112,3584,1.010261985872473,0.14505709057643582,0.7598598020508952,0.172038095140369,104.38856180000585,10.405502300010994,114.8735642999527,2.1468114852905273,"[3e-05, 0.0003]"
21,full_finetune,112,3584,1.0043120171342577,0.14519021672027646,0.7633990400338508,0.17740765125201796,104.43199129996356,10.440236900001764,114.94956199999433,2.1468114852905273,"[3e-05, 0.0003]"
22,full_finetune,112,3584,1.0120928574885641,0.14687179777703716,0.7663957572590959,0.17687022226180057,103.80297030002112,10.41693419998046,114.30168719997164,2.1468114852905273,"[3e-05, 0.0003]"
