"Path","Category","Bytes","SHA256","Tracked","ModifiedUtc"
"docs/evaluation/STAGE7D_MODEL_COMPARISON.md","KEEP_TRACKED","1425","5CC05E223BC46679A80ED4089B44D6B56034DA7533367DB73FB267534BA1747F","True","2026-08-04T17:20:03.8291098Z"
"docs/evaluation/STAGE7E_PATCH_TOKEN_AUDIT.md","KEEP_TRACKED","1316","53B27A8D884E529116B0463D999C29E542D1536FF804EF68F47651395786429E","True","2026-08-04T20:16:06.1881906Z"
"docs/evaluation/STAGE8D_SEGMENTATION_COMPARISON.md","KEEP_TRACKED","834","6F0D48B6E096D766EDFD56C1B22EE6BDD1713C6072545F5C661F9B37EC1079B0","True","2026-08-05T10:59:48.6353749Z"
"docs/evaluation/STAGE8E_FINAL_SEGMENTATION_EVALUATION.md","KEEP_TRACKED","754","155E871BA3C7C17C05ECAF58661CBADEBBBD716E1ABD6DB0FF4A3408BAFD238B","True","2026-08-05T12:00:28.3629635Z"
"docs/features/STAGE7B_RAD_DINO_CLS.md","KEEP_TRACKED","2075","28CAE7633653A8EEA19E8989D635329197437DC3C958130353DC93804384DB7B","True","2026-08-04T13:41:31.9749659Z"
"docs/integration/STAGE9A_SHARED_COHORT_READINESS.md","KEEP_TRACKED","1005","58033E0CEA55522CCA593E1A28E2AB836A48DD63A4B0123165CF08615E094143","True","2026-08-05T13:14:19.5153766Z"
"docs/integration/STAGE9B_SEGMENTATION_GUIDED_ABLATION.md","KEEP_TRACKED_PROPOSED","2096","898DD5EF17D586A544E7CC912050745F274F8BD109BD35E5CF99D00A3582E5E0","False","2026-08-05T17:02:34.9059361Z"
"docs/models/STAGE8_FINAL_SEGMENTATION_MODEL_CARD.md","KEEP_TRACKED","998","D8E77EFF9EF5925491218D0746EE70D630AD829F6E12C05BCC18CEA926F960D1","True","2026-08-05T12:11:42.4349251Z"
"docs/research_protocol/CANONICAL_STAGE_ROADMAP.md","KEEP_TRACKED_PROPOSED","2378","D225E4F0ECA9FEA9E4746102D4A792CA4634D43837E36BD7AB0411BF26A35863","False","2026-08-05T16:27:22.1394155Z"
"docs/ROADMAP.md","KEEP_TRACKED","929","AFFC61B273F3DCCA6617B8FF07B196724D799DE1C532872A4426C3B2CC48D158","True","2026-08-03T10:44:09.2462907Z"
"docs/training/STAGE5_QUALITY_VIEW.md","KEEP_TRACKED","972","721E70CB8C80355999E7C44EBA0E11A4533FF6183A08A84828A20B993B80F7C1","True","2026-08-03T16:31:26.6595781Z"
