organ,threshold,dice,iou,precision,recall,specificity
left_lung,0.35,0.9717399708260589,0.9450333021373125,0.9723012992642466,0.9711792901455433,0.9964823594866832
right_lung,0.5,0.9774301682490683,0.9558566446023822,0.9775923225487632,0.9772680677338714,0.996630804631916
heart,0.6,0.9613389682490333,0.9255560176628707,0.9610032930911674,0.9616748779892031,0.9962070808164534
