global_epoch,cycle,shard_index,shard_record_count,shard_sha256,train_loss,train_bce,train_dice_loss,validation_loss,validation_macro_dice,validation_macro_iou,learning_rate,epoch_seconds
1,1,1,3000,8972a5038c835d667c5b9efc9118d52a46ce2c035ab83fb94f24ea1a4815fbbd,0.02410241620739301,0.01632926037410895,0.031875571568806965,0.024300914347171784,0.9719199670967665,0.9454568146375633,2.5e-05,204.26220319990534
2,1,2,3000,21f1719b255152b90a0c037ab48dcd6d73d85702a94b8929de250fa0ef5c8044,0.023896185636520385,0.016191716675957046,0.03160065428415934,0.02431134666502476,0.9718832082791158,0.9453867721443662,2.5e-05,198.31617530004587
3,1,3,3000,50543b81dfc84ace4c81c261507a4a4c022b1def91799cd96da3a6f7b8c7b181,0.023745230813821155,0.016054715968668462,0.03143574523925781,0.024353429943323134,0.971852533167925,0.9453306603740931,2.5e-05,196.77165770006832
4,1,4,3000,282b9f557f5ba1ec2c21bb979e32305b1dd4167871af32e4b21da647e7f0d3d0,0.02363881839811802,0.016053430656592052,0.031224205652872723,0.024039046257734297,0.9722057405415808,0.9459937566732416,2.5e-05,196.8076943999622
5,1,5,3000,d2a3533a76f51df6d64e4cce9fb1498307e17871d4b217d92dac047a60cb6f23,0.02402915739516417,0.016332973624269168,0.03172534084320068,0.024252138316631318,0.9719135275476812,0.9454464290953831,2.5e-05,197.3310639000265
6,1,6,3000,4977ed43c8e90d88593e8c2b73af145ab50d3dba140e5baf81beeb6fe226cfdd,0.023769439746936162,0.016151372919480007,0.03138750616709391,0.024034080609679223,0.9721756163748903,0.9459369454077932,2.5e-05,196.96459600003436
7,1,7,3000,22a69c499ca29ee92cae51f68f858b999199b10b31e45d10591171067e0b3b06,0.022944714456796647,0.015596124534805616,0.030293303966522217,0.02394554866850376,0.9722706300065318,0.9461150843833951,2.5e-05,197.34697079996113
8,1,8,3000,18779f8cf5260ee2767a2f73e0ebf5f4f88b018ed9a9fea72931593e0bc6edcf,0.023789470414320626,0.016153178582588832,0.03142576185862223,0.02400385320186615,0.9722375679627745,0.9460525329677889,1.25e-05,199.40958229999524
9,1,9,3000,bd7936555727943d242278d91cbb10ee1d796a214fa6a7d8d1831c386f33e979,0.023364071850975353,0.015787456691265106,0.030940686543782552,0.023829032629728318,0.9724428322173272,0.9464407333518192,1.25e-05,195.44429360004142
10,1,10,3000,e9994cf6214a2d959106734ca959478a10a5d78403f3a128eea5ab082affe41d,0.023162307264904182,0.015709583004315693,0.030615031242370607,0.023802609160542488,0.9724580362969325,0.9464685639241665,1.25e-05,199.02752210001927
11,1,11,3000,f54dbd0e2b0d8068761ebd7f440280eceb8acb7434dfdcfcf1adf6053fe9e756,0.023113975271582602,0.015633447701732316,0.030594502449035645,0.0238858752399683,0.972382240296652,0.9463274008261252,1.25e-05,194.20139119995292
12,1,12,3000,ad34d3888646f908d1c80ada69b231a070c4b49dad68704d534283ab774a35b6,0.023438799783587455,0.015898544371128084,0.03097905476888021,0.023791381776332856,0.972412792980017,0.9463874727088283,1.25e-05,199.36654800001998
13,1,13,3000,35dbac813b84fd049ac27ec6dfc4f6e170fbae7d664bf5a9300faa1b314f9a10,0.02348806157708168,0.015866151459515095,0.031109971364339194,0.023749519556760787,0.9725189111601087,0.9465860536599123,6.25e-06,199.9819535999559
14,1,14,3000,e6b50b433c990bf32f200aa3659fa66c8e88bbf58480b98c8d94977ccaa8a086,0.023461587737003964,0.015919594516356786,0.03100358041127523,0.02365189352631569,0.9726228599174297,0.9467812726116547,6.25e-06,200.22998329997063
15,1,15,3000,9ca7fb92c42d8c7bf704f438f06e06dab4ad5e20f8a0da40fa6c16e3652f39c8,0.023577157204349837,0.01602770804117123,0.03112660598754883,0.023605556666851043,0.9726855361327066,0.9468995519558642,6.25e-06,197.31043599999975
16,1,16,3000,814152031b50be7d9d679f2f634cc674ba1f534dddb032b4d53560118f4a8369,0.02358521208167076,0.01595659920076529,0.03121382427215576,0.023627639144659044,0.9726483930829222,0.9468300776333883,6.25e-06,198.39913360006176
17,1,17,3000,c902303accf244db2027597e0ab1a114720f0c9536d985cab2d53a9be8f535d6,0.02299566525220871,0.015610927385588487,0.03038040256500244,0.02358919683098793,0.9727180149683194,0.9469611643046415,6.25e-06,193.75157339998987
18,1,18,3000,aa800a10d4d9871a6b4d49c2ac45c833b64ab3527039467bfb61b1139fc9e3f2,0.022896227613091468,0.01553403336306413,0.030258421262105307,0.023657122015953064,0.9726374051726422,0.9468095995183532,3.125e-06,197.18387049995363
19,1,19,3000,5438560256066b4eb8ac744383c2de12bd49dadb61a1048f727cbce2d736ab4f,0.022755899066726367,0.01539292018612226,0.030118877410888673,0.02356816044449806,0.9727344492397473,0.9469913587768439,3.125e-06,197.97073220007587
20,1,20,3000,389bf38e24dcc9acd7412c5bdfbb9f0449fef5e4d094e9b42b92a21f7a7f2ff3,0.02287319996456305,0.015449111096560955,0.030297288417816162,0.023515240505337716,0.9727763241130086,0.9470712390624287,3.125e-06,197.4904957000399
21,1,21,3000,469dbafc762a1bc58e7a3fbb13ba84edd56b4fead6eb697b3509c107f5d8444e,0.022446930532654126,0.01509509734561046,0.029798763275146484,0.023477468952536582,0.9728385700887822,0.9471885116990896,3.125e-06,196.78076760005206
22,1,22,3000,3032e641bd98dbda19de5f724c58e04afa4995485299a95e4c04c4fe839cb6e9,0.023047283892830214,0.015691639229655267,0.030402928034464517,0.023492287397384643,0.9728008636471547,0.9471182948638063,3.125e-06,195.5712873999728
23,1,23,3000,ae539172e89e21250acf66b2c4fb976e2c9e598030d5d4cd9c9cf24733def06e,0.02289670607447624,0.015491882503032685,0.0303015292485555,0.023466283127665518,0.9728545825303369,0.9472185579731817,3.125e-06,199.99108880001586
24,1,24,3000,f0dced311546da48e3f87e5a0934a5fb0d97f8a66bda7e44fd360a785f087d3e,0.022939406673113505,0.015563762485980988,0.030315050443013507,0.023493153005838395,0.9728296320975834,0.9471724396300076,3.125e-06,251.3149578999728
25,1,25,3000,1ef1557110f83449a690aa65e8870626ee3ba3abca536b79a00e7adedb9b7329,0.022838503842552503,0.015542335338890552,0.030134671847025552,0.02343537847697735,0.9728784443977775,0.9472634961972126,1.5625e-06,330.4133662999375
26,1,26,2782,ed82978d63282e2a410d16ce056eb17a86d5bcad4fc1cf52281a896acdac2a3a,0.022902455029568596,0.015581247382037379,0.03022366226533606,0.023427155897021292,0.9728782667841741,0.9472643242299262,1.5625e-06,317.9849237999879
