metric,mean,ci_lower,ci_upper
macro_dice,0.9713908726576083,0.9703964798161326,0.9723576033022919
macro_iou,0.9444507889962594,0.94257434291734,0.9462785412208522
left_lung_dice,0.972751008310317,0.9715467080583025,0.9739329323483948
right_lung_dice,0.9785619385116203,0.9776420343121721,0.9794117213448188
heart_dice,0.9628596711508876,0.9618389059444455,0.9638813329983559
