metric,mean,median,lower,upper,probability_stage8c_greater
macro_dice_delta_stage8c_minus_stage8b,0.0012789109602375688,0.0012775404648694422,0.001187647955682164,0.0013777459055125175,1.0
macro_iou_delta_stage8c_minus_stage8b,0.0024168571299684554,0.0024144637456139373,0.002246065778842188,0.00260038117314359,1.0
left_lung_dice_delta_stage8c_minus_stage8b,0.0011676075508837709,0.0011658922546370354,0.001048373832960753,0.0012885721638370151,1.0
right_lung_dice_delta_stage8c_minus_stage8b,0.0010910423544694462,0.0010884234398143566,0.0009961572368785171,0.0012000236848079548,1.0
heart_dice_delta_stage8c_minus_stage8b,0.001578082975359488,0.0015757535185648708,0.0014160890992136134,0.0017512911697886685,1.0
