epoch,train_loss,train_bce,train_dice_loss,validation_loss,validation_macro_dice,validation_macro_iou,learning_rate,train_records,validation_records,epoch_seconds
14,0.030881150752305984,0.021177200194448232,0.04058510076999664,0.029243885189294817,0.9664814381814089,0.9352670333535412,0.0001,8000,2000,387.3010921999812
15,0.030391741547733546,0.020778327856212853,0.040005154728889464,0.029256576865911484,0.9663921638770674,0.9351083236822504,0.0001,8000,2000,384.8486006000312
16,0.029562036734074353,0.02017589503712952,0.03894817769527435,0.02922889283299446,0.9664940529505651,0.9352600129197949,0.0001,8000,2000,386.72266730002593
17,0.03000831723585725,0.02059570698812604,0.03942092680931091,0.02992873327434063,0.9655055022220504,0.9334925423383339,0.0001,8000,2000,385.0449280999601
18,0.029588549438863992,0.020244590183719994,0.03893250823020935,0.028348140135407447,0.9674010796667352,0.9369750953938341,0.0001,8000,2000,383.3817453000229
19,0.028909598868340255,0.019732318935915826,0.038086878299713134,0.028246664315462112,0.9675677753377764,0.9372954513679277,0.0001,8000,2000,385.20005949994083
20,0.02906867577508092,0.019824225049465894,0.03831312596797943,0.02767957916855812,0.9682206329332449,0.9385012977565403,0.0001,8000,2000,381.0284192999825
21,0.028807412635535,0.01969823536463082,0.03791658937931061,0.028585574209690094,0.9670888757648902,0.9364040014118578,0.0001,8000,2000,385.0971168000251
22,0.02846402832120657,0.019386749051511287,0.037541306972503664,0.027282136723399162,0.9685953314006458,0.9392083877175398,0.0001,8000,2000,379.5823319000192
23,0.028612831223756074,0.0195426882263273,0.03768297362327576,0.027613800004124642,0.9682811058739161,0.9386118349030282,0.0001,8000,2000,385.03741250000894
24,0.028165672149509192,0.019184127101674674,0.03714721667766571,0.029091918721795083,0.9665849921073603,0.9354406752070541,0.0001,8000,2000,384.5271228000056
25,0.028424703434109688,0.019422404361888766,0.037427001953125,0.027868510335683824,0.9679285833606802,0.937972649953541,0.0001,8000,2000,384.57845420006197
26,0.027882366135716437,0.019024181531742214,0.03674055027961731,0.026799014702439308,0.9690983970200189,0.9401437233591273,0.0001,8000,2000,386.69705309998244
27,0.027792179830372334,0.018937895532697438,0.036646463513374326,0.027260356977581977,0.9686720628748993,0.9393484925083838,0.0001,8000,2000,384.85246329999063
28,0.027767375390976668,0.018958575403317808,0.03657617485523224,0.028101257160305978,0.9675572079183112,0.9373000528483505,0.0001,8000,2000,386.19043429999147
29,0.02704171772673726,0.018417215585708618,0.035666219353675845,0.027006475672125815,0.9688864802365181,0.9397546345047622,0.0001,8000,2000,385.14820640010294
30,0.027111539620906115,0.018467859929427503,0.03575521874427796,0.027134616166353227,0.9687446151065874,0.9394991004728762,5e-05,8000,2000,385.2911272000056
31,0.025843037731945514,0.01752727529965341,0.034158799767494204,0.02562912419438362,0.9704888701530535,0.9427608598195452,5e-05,8000,2000,386.7221983000636
32,0.025611468609422445,0.017407721625640988,0.033815215110778805,0.0253116869777441,0.9708124180272223,0.9433682494482131,5e-05,8000,2000,384.33550159994047
33,0.025351697105914353,0.017219611110165716,0.03348378264904022,0.025081578239798546,0.9710998598529766,0.9439054324564845,5e-05,8000,2000,382.2979029000271
34,0.025099161338061095,0.0170822172164917,0.033116105079650876,0.025361649259924887,0.9707427908306413,0.9432421910359179,5e-05,8000,2000,385.3815234999638
35,0.025091141931712628,0.017013447863981127,0.03316883563995361,0.02489374639093876,0.9713141304412893,0.9443131462030232,5e-05,8000,2000,380.45869580004364
36,0.024912041045725346,0.016971649169921874,0.03285243248939514,0.025410354644060135,0.9707099804488458,0.9431808382793795,5e-05,8000,2000,378.22311169991735
37,0.02483261550217867,0.016914387598633767,0.032750842928886414,0.025260609030723573,0.9708578816686027,0.943455329869237,5e-05,8000,2000,378.90487500000745
38,0.02450311217084527,0.016657863618806005,0.032348360300064084,0.024750248908996582,0.9714974984414658,0.9446541350781882,5e-05,8000,2000,383.8904520000797
39,0.024716273084282876,0.016810383455827832,0.032622162222862246,0.02479211673140526,0.9714352417895947,0.9445406768403237,5e-05,8000,2000,384.9291119000409
40,0.02443326072767377,0.016665619933977725,0.03220090103149414,0.0249183844178915,0.9712903544587767,0.9442697656310264,5e-05,8000,2000,384.7509927999927
