epoch,train_loss,train_bce,train_dice_loss,validation_loss,validation_macro_dice,validation_macro_iou,learning_rate,train_records,validation_records,epoch_seconds
1,0.38033373057842257,0.27083145823329685,0.4898359993696213,0.11479303914308547,0.9510933383286512,0.9070527085979746,0.0001,8000,2000,474.21982070000377
2,0.07223461886495351,0.038770668014884,0.10569856858253479,0.05239827406406403,0.9528331747590922,0.9104110545181608,0.0001,8000,2000,441.1595955999801
3,0.04679545684158802,0.029505492758005857,0.06408542013168335,0.03985441292822361,0.9601165719194334,0.9234329553587425,0.0001,8000,2000,433.66739729995606
4,0.04018426614627242,0.026449609495699404,0.05391892182826996,0.035327819004654884,0.9623345465098568,0.9275473124920478,0.0001,8000,2000,423.64137860003393
5,0.03715932487696409,0.02494611451588571,0.04937253439426422,0.03351044861972332,0.9631994489534534,0.9291422066212305,0.0001,8000,2000,411.9842436000472
6,0.03562329817563295,0.024144768226891756,0.047101827144622806,0.03394119821488857,0.9619289329825844,0.9268752799855383,0.0001,8000,2000,384.71651779999956
7,0.034708242170512674,0.023694178955629468,0.045722304582595824,0.0331912359893322,0.9625688748418583,0.9280296381469583,0.0001,8000,2000,388.23482299991883
8,0.033827769074589016,0.023095236653462053,0.04456030082702637,0.03065135468542576,0.9652920815815799,0.9330374205322992,0.0001,8000,2000,386.9631059000967
9,0.03267038542404771,0.022328585188835858,0.04301218497753143,0.0322126457542181,0.9631911538201745,0.9292043286960529,0.0001,8000,2000,390.9625118999975
10,0.032751175038516524,0.0223651936724782,0.043137155652046205,0.03184389036893845,0.9635178987611672,0.929751158305498,0.0001,8000,2000,392.1992734000087
11,0.03178811728581786,0.02175511951558292,0.04182111430168152,0.0299916712641716,0.9658054566681686,0.9339923917175038,0.0001,8000,2000,391.4324148000451
12,0.03114396296814084,0.021355841353535653,0.04093208384513855,0.030815435379743576,0.9646782964428816,0.9319177772658606,0.0001,8000,2000,389.11935579997953
13,0.0312004897557199,0.021353194849565625,0.04104778397083282,0.029823203384876252,0.965808692040938,0.9340148576685013,0.0001,8000,2000,389.6121018999256
